timestamp,pdb_id,resolution_angstrom,experimental_method,publication_doi,organism,chain_count,residue_count,missing_residues,quality_status,rejection_reason,local_file_path
2026-04-21T15:01:04.076675,1UBQ,1.8,X-RAY DIFFRACTION,N/A,1,1,76,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1UBQ.pdb
2026-04-21T15:01:04.305202,1L2Y,,SOLUTION NMR,N/A,38,1,20,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1L2Y.pdb
2026-04-21T15:01:04.788985,2F21,1.5,X-RAY DIFFRACTION,N/A,1,1,153,16,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2F21.pdb
2026-04-21T15:01:05.205985,1LYZ,2.0,X-RAY DIFFRACTION,N/A,1,1,129,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1LYZ.pdb
2026-04-21T15:01:05.757776,4HHB,1.74,X-RAY DIFFRACTION,N/A,1,4,574,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/4HHB.pdb
2026-04-21T15:01:06.453411,1TIM,2.5,X-RAY DIFFRACTION,N/A,1,2,494,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1TIM.pdb
2026-04-21T15:01:07.049890,1F88,2.8,X-RAY DIFFRACTION,N/A,1,2,643,60,REJECTED,Resolution 2.80 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1F88.pdb
2026-04-21T15:01:07.320823,2RH1,2.4,X-RAY DIFFRACTION,N/A,1,1,442,65,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2RH1.pdb
2026-04-21T15:01:08.316455,4DKL,2.8,X-RAY DIFFRACTION,N/A,1,1,442,29,REJECTED,Resolution 2.80 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/4DKL.pdb
2026-04-21T15:01:08.737180,1MBN,2.0,X-RAY DIFFRACTION,N/A,1,1,153,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1MBN.pdb
2026-04-21T15:01:09.334517,2DN2,1.25,X-RAY DIFFRACTION,N/A,1,4,574,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2DN2.pdb
2026-04-21T15:01:09.765213,1GCN,3.0,X-RAY DIFFRACTION,N/A,1,1,29,0,REJECTED,Resolution 3.00 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1GCN.pdb
2026-04-21T15:01:10.223094,1TEN,1.8,X-RAY DIFFRACTION,N/A,1,1,90,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1TEN.pdb
2026-04-21T15:01:10.887019,1FNF,2.0,X-RAY DIFFRACTION,N/A,1,1,368,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1FNF.pdb
2026-04-21T15:01:11.545822,1IGT,2.8,X-RAY DIFFRACTION,N/A,1,4,1302,0,REJECTED,Resolution 2.80 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1IGT.pdb
2026-04-21T15:01:12.127106,1AKE,2.0,X-RAY DIFFRACTION,N/A,1,2,428,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1AKE.pdb
2026-04-21T15:01:12.514902,1CRN,1.5,X-RAY DIFFRACTION,N/A,1,1,46,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1CRN.pdb
2026-04-21T15:01:13.077209,2GB1,,SOLUTION NMR,N/A,1,1,56,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2GB1.pdb
2026-04-21T15:01:13.697906,2N0A,,SOLID-STATE NMR,N/A,1,10,1400,0,REJECTED,Unknown method: SOLID-STATE NMR,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2N0A.pdb
2026-04-21T15:01:14.304860,5OQV,4.0,ELECTRON MICROSCOPY,N/A,1,9,378,0,REJECTED,Resolution 4.00 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/5OQV.pdb
2026-04-21T15:01:14.907662,4ZQK,2.45,X-RAY DIFFRACTION,N/A,1,2,221,19,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/4ZQK.pdb
2026-04-21T15:01:15.489189,5UAK,3.87,ELECTRON MICROSCOPY,N/A,1,2,1158,357,REJECTED,Resolution 3.87 Å > 2.5 Å threshold; Too many missing residues: 357/1158,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/5UAK.pdb
2026-04-21T15:01:16.174194,1AHO,0.96,X-RAY DIFFRACTION,N/A,1,1,64,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1AHO.pdb
2026-04-21T15:01:16.710047,1BDD,,SOLUTION NMR,N/A,1,1,60,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1BDD.pdb
2026-04-21T15:01:17.116637,1VII,,SOLUTION NMR,N/A,1,1,36,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1VII.pdb
2026-04-21T15:01:17.621771,3NJG,1.92,X-RAY DIFFRACTION,N/A,1,2,119,16,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/3NJG.pdb
2026-04-21T15:01:18.120552,1CYO,1.5,X-RAY DIFFRACTION,N/A,1,1,88,12,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1CYO.pdb
2026-04-21T15:01:18.656195,2LZM,1.7,X-RAY DIFFRACTION,N/A,1,1,164,0,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/2LZM.pdb
2026-04-21T15:01:19.136624,1HHP,2.7,X-RAY DIFFRACTION,N/A,1,1,99,0,REJECTED,Resolution 2.70 Å > 2.5 Å threshold,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1HHP.pdb
2026-04-21T15:01:19.673937,1AAP,1.5,X-RAY DIFFRACTION,N/A,1,2,112,11,ACCEPTED,,/Users/carlzimmerman/new_physics/zimmerman-formula/extended_research/biotech/medicine/validated_pipeline/data/1AAP.pdb
